,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo
0,2022,3,1395277,6031970,2871541,557,235,11091128,Jul-Sept 2022
1,2022,2,1468333,5979214,2723285,556,231,10958684,Abr-Jun 2022
2,2022,1,1533240,6073426,2219533,545,251,10624009,Ene-Mar 2022
3,2021,4,1657615,5984240,2072236,523,252,10489794,Oct-Dic 2021
4,2021,3,1950631,5826257,1566048,492,250,10085541,Jul-Sept 2021
5,2021,2,2018587,5641731,1472246,476,253,9863084,Abr-Jun 2021
6,2021,1,2175211,5424782,1362976,434,250,9647972,Ene-Mar 2021
7,2020,4,2213949,5371824,1311199,421,253,9571562,Oct-Dic 2020
8,2020,3,2263889,5259351,1170879,413,248,9356199,Jul-Sept 2020
9,2020,2,2295533,5005115,1106725,376,247,9031056,Abr-Jun 2020
10,2020,1,2299457,4903674,1047817,352,209,8812426,Ene-Mar 2020
11,2019,4,2414575,4883869,941295,340,213,8793181,Oct-Dic 2019
12,2019,3,2909805,4800091,852221,338,264,9164684,Jul-Sept 2019
13,2019,2,2990457,4635575,760794,308,265,8960181,Abr-Jun 2019
14,2019,1,3132789,4435439,637099,276,166,8648135,Ene-Mar 2019
15,2018,4,3329027,4313831,388013,264,178,8473655,Oct-Dic 2018
16,2018,3,3521447,4238171,247366,246,93,8347035,Jul-Sept 2018
17,2018,2,3557216,4038141,226285,194,94,8110444,Abr-Jun 2018
18,2018,1,3574294,3981129,217460,165,98,8037053,Ene-Mar 2018
19,2017,4,3584311,3818157,211425,155,100,7870222,Oct-Dic 2017
20,2017,3,3622575,3670221,193964,106,131,7724943,Jul-Sept 2017
21,2017,2,3723518,3383434,180777,85,56,7429664,Abr-Jun 2017
22,2017,1,3708898,3276251,180146,84,55,7305854,Ene-Mar 2017
23,2016,4,3722794,3210602,178070,85,55,7251673,Oct-Dic 2016
24,2016,3,3776442,3124855,169898,81,54,7206950,Jul-Sept 2016
25,2016,2,3782085,3035272,167788,85,59,7130079,Abr-Jun 2016
26,2016,1,3792493,2806359,164371,85,58,6907356,Ene-Mar 2016
27,2015,4,3803024,2898226,139187,85,58,6984831,Oct-Dic 2015
28,2015,3,3788696,2840203,162663,84,58,6935068,Jul-Sept 2015
29,2015,2,3767821,2756294,150839,82,59,6816188,Abr-Jun 2015
30,2015,1,3756153,2668248,168188,79,66,6737732,Ene-Mar 2015
31,2014,4,3764038,2536219,149682,76,71,6598496,Oct-Dic 2014
32,2014,3,3714764,2569868,155494,85,70,6595271,Jul-Sept 2014
33,2014,2,3708882,2461670,149363,72,72,6464468,Abr-Jun 2014
34,2014,1,3697066,2407330,150323,70,72,6398398,Ene-Mar 2014
